candidate_id,rank,score,reasoning
CAND_0018499,1,0.989,"Notably, Brings Learning To Rank, Qlora experience. 7 years of experience, currently Senior Machine Learning Engineer at Zomato."
CAND_0052328,2,0.9781,"Brings Fine-Tuning Llms, Learning To Rank experience, complemented by Stanford University graduate (Tier-1)."
CAND_0027691,3,0.9766,"Notably, Built retrieval-based systems at Vedantu. Previously Applied ML Engineer at Vedantu; Previously NLP Engineer at Haptik."
CAND_0039754,4,0.9678,"Notably, Brings Fine-Tuning Llms experience. Previously Senior Applied Scientist at Meta; 8 years of experience, currently Senior Applied Scientist at Meta."
CAND_0007009,5,0.9659,"Previously Recommendation Systems Engineer at Wysa, complemented by Brings Learning To Rank, Lora experience."
CAND_0041669,6,0.9607,"8 years of experience, currently Recommendation Systems Engineer at CRED, complemented by Brings Peft, Qlora experience and Core JD skills: Weaviate, Qdrant, Milvus, Faiss."
CAND_0039383,7,0.9587,"Notably, Profile headline: ""Applied ML Engineer | Applied ML | Building intelligent products"". Core JD skills: Faiss, Recommendation Systems, Vector Search, Nlp; Previously Applied ML Engineer at Meesho."
CAND_0011687,8,0.9585,"Brings Peft experience. Additionally, Profile headline: ""Senior NLP Engineer | Production ML at scale | 7.8+ yrs"" — Core JD skills: Weaviate, Faiss, Embeddings, Opensearch."
CAND_0002025,9,0.9574,"Strong fit for the Senior AI Engineer role — Built embedding-based systems at Apple; Previously Senior AI Engineer at Apple; 6 years of experience, currently Senior AI Engineer at Apple."
CAND_0081846,10,0.957,"IIT Hyderabad graduate (Tier-1). Additionally, Core JD skills: Qdrant, Embeddings, Information Retrieval, Recommendation Systems."
CAND_0068351,11,0.9568,"Notably, Core JD skills: Qdrant, Nlp, Elasticsearch, Python. IIIT Bangalore graduate (Tier-1); Previously Lead AI Engineer at Sarvam AI."
CAND_0037566,12,0.9566,"Strong fit for the Senior AI Engineer role — Previously Machine Learning Engineer at Paytm; Core JD skills: Pinecone, Nlp, Elasticsearch. Note: matches 3 core JD skills — fewer than top-ranked candidates."
CAND_0014440,13,0.9565,"Previously Recommendation Systems Engineer at CRED; Core JD skills: Qdrant, Milvus, Faiss, Elasticsearch; Built ranking-based systems at CRED."
CAND_0066999,14,0.9547,"Previously Recommendation Systems Engineer at Microsoft. Additionally, Core JD skills: Pinecone, Faiss, Embeddings, Information Retrieval — IIIT Bangalore graduate (Tier-1)."
